,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,ZipCode,Municipality,CAMIONES,FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,"TRACTORES
INDUSTRIALES","REMOLQUES y
SEMIRREMOLQUES","OTROS
VEHÍCULOS",TOTAL
0,5454.0,5467.0,5533.0,5586.0,5585.0,5664.0,5709.0,5709.0,5765.0,5798.0,5822.0,15001,Abegondo,359.0,265.0,0.0,3668.0,329.0,38.0,90.0,108.0,4857.0
1,31278.0,30835.0,30544.0,30267.0,29975.0,29689.0,29331.0,28852.0,27900.0,26983.0,25818.0,15002,Ames,814.0,827.0,2.0,15252.0,1186.0,49.0,124.0,171.0,18425.0
2,1894.0,1935.0,1982.0,1997.0,2033.0,2051.0,2072.0,2113.0,2126.0,2142.0,2181.0,15003,Aranga,96.0,108.0,1.0,1257.0,75.0,12.0,29.0,33.0,1611.0
3,5671.0,5658.0,5672.0,5743.0,5741.0,5801.0,5839.0,5801.0,5705.0,5673.0,5682.0,15004,Ares,120.0,88.0,0.0,2899.0,240.0,6.0,18.0,38.0,3409.0
4,31917.0,31534.0,31239.0,30950.0,30857.0,31005.0,30725.0,30482.0,30255.0,29762.0,28961.0,15005,Arteixo,1743.0,1165.0,42.0,17320.0,1648.0,136.0,284.0,475.0,22813.0
5,6053.0,6123.0,6211.0,6219.0,6261.0,6276.0,6315.0,6328.0,6409.0,6490.0,6484.0,15006,Arzúa,444.0,303.0,13.0,3684.0,227.0,58.0,108.0,106.0,4943.0
6,3505.0,3541.0,3645.0,3698.0,3754.0,3849.0,3967.0,4102.0,4320.0,4415.0,4528.0,15007,"Baña, A",148.0,134.0,4.0,2293.0,142.0,3.0,16.0,42.0,2782.0
7,6602.0,6623.0,6656.0,6700.0,6702.0,6738.0,6712.0,6722.0,6758.0,6696.0,6683.0,15008,Bergondo,596.0,500.0,12.0,4500.0,463.0,114.0,148.0,175.0,6508.0
8,12916.0,12941.0,12966.0,13202.0,13352.0,13445.0,13565.0,13537.0,13673.0,13680.0,13522.0,15009,Betanzos,545.0,386.0,52.0,7052.0,592.0,136.0,186.0,107.0,9056.0
9,2021.9999999999998,2040.0,2111.0,2125.0,2115.0,2154.0,2200.0,2211.0,2271.0,2288.0,2348.0,15010,Boimorto,120.0,121.0,24.0,1302.0,62.0,5.0,16.0,56.0,1706.0
10,18844.0,18885.0,18871.0,18950.0,19060.0,19144.0,19165.0,19106.0,19076.0,18883.0,18730.0,15011,Boiro,933.0,658.0,20.0,10080.0,983.0,80.0,159.0,173.0,13086.0
11,4215.0,4242.0,4291.0,4321.0,4342.0,4370.0,4417.0,4430.0,4444.0,4462.0,4445.0,15012,Boqueixón,325.0,210.0,2.0,2743.0,290.0,40.0,77.0,118.0,3805.0
12,7748.0,7699.0,7590.0,7564.0,7519.0,7435.0,7369.0,7462.0,7347.0,7205.0,7104.0,15013,Brión,290.0,243.0,13.0,4399.0,354.0,12.0,65.0,101.0,5477.0
13,4337.0,4347.0,4446.0,4552.0,4623.0,4716.0,4759.0,4865.0,4909.0,4985.0,5045.0,15014,Cabana de Bergantiños,288.0,190.0,23.0,3012.0,219.0,6.0,29.0,89.0,3856.0
14,3318.0,3314.0,3259.0,3299.0,3294.0,3287.0,3299.0,3346.0,3375.0,3336.0,3287.0,15015,Cabanas,230.0,134.0,2.0,2325.0,243.0,19.0,37.0,48.0,3038.0
15,5322.0,5419.0,5486.0,5577.0,5774.0,5874.0,6082.0,6168.0,6226.0,6224.0,6207.0,15016,Camariñas,297.0,185.0,7.0,2779.0,166.0,11.0,29.0,105.0,3579.0
16,24603.0,24348.0,24141.0,24076.0,24029.0,23999.0,23879.0,23649.0,23621.0,23231.0,22900.0,15017,Cambre,1089.0,923.0,7.0,13515.0,1412.0,74.0,176.0,182.0,17378.0
17,1238.0,1274.0,1318.0,1334.0,1356.0,1366.0,1376.0,1386.0,1399.0,1417.0,1439.0,15018,"Capela, A",68.0,58.0,13.0,881.0,98.0,7.0,26.0,28.0,1179.0
18,31261.0,31195.0,31256.0,31283.0,31288.0,31366.0,31358.0,31303.0,31149.0,30990.0,30653.0,15019,Carballo,2163.0,1435.0,48.0,19213.0,1313.0,232.0,479.0,440.0,25323.0
19,3945.0,4003.9999999999995,4072.0,4167.0,4241.0,4337.0,4373.0,4474.0,4530.0,4590.0,4617.0,15901,Cariño,143.0,119.0,0.0,2078.0,150.0,12.0,31.0,34.0,2567.0
